"V1"	"V2"	"V3"	"V4"	"V5"	"V6"	"V7"	"V8"	"V9"	"V10"	"V11"	"V12"	"V13"	"V14"	"V15"	"V16"	"V17"	"V18"	"V19"	"V20"	"V21"	"V22"	"V23"	"V24"	"V25"	"V26"	"V27"	"V28"	"V29"	"V30"	"V31"	"V32"	"V33"	"V34"	"V35"	"V36"	"V37"	"V38"	"V39"	"V40"	"V41"	"V42"	"V43"	"V44"	"V45"	"V46"	"V47"	"V48"	"V49"	"V50"	"V51"	"V52"	"V53"	"V54"	"V55"	"V56"	"V57"	"V58"	"V59"	"V60"	"V61"	"V62"	"V63"	"V64"	"V65"	"V66"	"V67"	"V68"	"V69"	"V70"	"V71"	"V72"	"V73"	"V74"	"V75"	"V76"	"V77"	"V78"	"V79"	"V80"	"V81"	"V82"	"V83"	"V84"	"V85"	"V86"	"V87"	"V88"	"V89"	"V90"	"V91"	"V92"	"V93"	"V94"	"V95"	"V96"	"V97"	"V98"	"V99"	"V100"
"11"	1	1	3	1	4	1	1	1	2	3	3	1	1	1	2	2	1	3	4	1	2	2	3	3	1	1	1	1	1	2	1	1	1	1	1	1	4	4	2	1	3	1	1	2	3	1	3	1	1	2	1	1	1	1	2	1	1	4	2	4	3	1	2	1	1	1	1	1	4	1	4	1	1	1	1	1	1	1	1	1	3	1	1	1	2	1	1	1	2	1	1	2	3	2	4	2	1	1	1	1
"12"	1	1	2	4	2	3	1	2	1	1	1	1	4	1	2	1	1	4	4	2	1	1	2	1	4	1	1	3	3	4	1	1	1	1	2	1	4	1	2	1	3	2	1	1	2	1	1	1	2	1	2	1	1	4	1	2	1	2	1	3	1	4	2	1	1	2	1	3	1	4	4	2	1	1	1	3	1	1	1	1	2	2	2	1	4	1	1	2	2	2	3	1	1	1	3	2	1	4	4	1
"13"	1	3	1	1	4	2	4	2	4	1	1	1	4	2	4	1	2	1	1	2	4	1	2	2	1	1	1	4	1	1	2	2	2	3	1	3	2	2	1	1	2	3	1	1	2	1	3	1	1	1	1	1	1	3	1	2	1	2	1	4	2	4	3	4	1	2	1	1	1	1	4	1	1	4	2	2	1	1	1	2	2	1	1	1	1	3	1	2	1	1	1	2	1	4	1	1	4	1	1	1
"14"	1	2	2	1	4	2	1	2	4	3	1	1	1	1	2	3	1	3	1	1	1	1	2	1	1	1	1	3	3	1	1	2	1	4	1	1	2	1	1	1	4	1	1	1	1	1	2	2	3	1	1	1	4	1	1	1	1	2	2	4	1	2	1	1	1	4	1	1	1	1	4	2	1	1	1	1	1	1	1	1	2	2	4	1	1	4	1	4	4	2	3	3	1	2	3	3	1	1	3	1
"15"	4	2	3	2	3	4	1	2	4	3	1	1	1	2	2	1	1	1	1	1	1	2	2	3	1	1	1	1	1	2	1	4	2	3	1	2	1	1	1	2	4	2	1	2	2	2	4	1	1	1	2	1	1	2	1	2	1	3	2	1	1	4	1	1	2	2	4	2	1	3	2	3	2	2	4	4	1	3	2	1	2	2	1	3	3	1	1	4	3	1	1	1	1	1	4	2	1	3	2	1
"16"	3	1	2	2	1	2	1	2	4	2	2	1	1	2	2	1	1	1	1	1	4	1	2	3	2	2	1	4	2	3	1	1	3	3	2	4	1	2	1	1	1	2	3	1	4	1	4	1	3	1	2	1	3	2	4	1	1	2	2	1	1	2	1	1	1	1	1	1	1	2	4	1	1	1	1	1	1	4	1	1	2	1	1	1	1	1	1	2	3	1	3	3	1	2	1	1	1	3	1	2
"17"	4	2	3	2	1	4	1	4	3	3	4	2	4	2	2	1	2	2	3	1	1	2	2	2	1	1	2	1	1	2	1	2	1	3	1	3	2	1	1	2	3	1	1	2	2	1	2	1	1	2	2	2	1	1	3	2	1	2	1	4	1	1	3	2	1	2	4	2	1	1	4	1	3	2	3	3	1	1	1	1	4	1	3	3	1	1	3	2	3	1	1	1	4	4	4	1	4	1	1	4
"18"	4	2	2	2	2	2	1	2	1	1	4	1	4	2	1	1	1	1	3	2	2	2	3	3	1	1	1	1	2	1	1	1	2	3	1	2	2	1	2	1	2	1	4	1	4	1	4	1	1	2	1	1	2	1	1	3	1	1	2	1	3	1	1	1	1	2	1	2	1	3	1	3	1	2	1	3	1	3	3	1	3	1	1	1	1	1	4	2	1	1	1	2	1	2	2	2	1	1	2	1
"19"	1	2	1	1	1	1	1	2	2	2	2	1	1	1	1	2	4	1	2	1	3	1	2	2	4	1	1	1	1	1	2	2	2	3	1	2	3	4	1	2	1	1	1	1	3	1	4	2	2	1	1	2	1	1	1	3	1	1	2	4	1	1	1	1	2	4	1	4	4	3	4	3	1	1	1	3	1	1	1	3	2	2	1	2	4	1	1	2	4	1	1	2	1	1	3	2	2	3	1	1
"20"	4	1	3	1	4	2	1	1	4	3	1	3	2	2	1	1	1	4	2	1	4	1	2	2	1	1	1	1	2	2	1	2	1	1	1	3	1	3	1	1	2	2	1	1	3	1	3	1	1	2	2	2	1	1	1	1	1	2	2	3	3	1	2	1	2	2	1	1	1	4	4	3	1	1	1	1	1	4	1	1	3	2	1	1	2	3	1	1	2	2	1	2	1	4	1	3	4	4	3	1
"21"	1	2	2	2	4	1	1	2	2	3	1	1	4	2	1	3	2	1	1	1	2	1	3	2	1	4	1	1	2	4	2	1	1	4	1	1	4	4	1	4	2	3	1	1	2	1	2	1	2	1	1	4	1	2	1	1	1	2	1	4	1	2	1	3	1	2	1	4	1	1	1	2	4	1	2	4	1	4	2	3	2	1	1	3	1	1	1	1	2	2	1	3	2	1	1	2	4	2	4	4
"22"	2	2	2	1	2	4	1	2	3	1	3	2	4	2	1	1	2	1	1	2	1	1	2	2	1	1	1	2	1	4	4	1	2	4	1	3	1	3	1	1	3	2	1	2	3	2	4	2	1	2	2	1	1	2	1	1	1	2	2	1	1	1	1	1	1	1	1	2	4	3	2	1	1	4	1	3	1	1	1	1	3	2	3	1	3	4	4	4	3	1	1	1	3	2	1	4	1	1	3	1
"23"	4	2	1	4	2	1	1	1	4	1	2	1	2	2	4	2	1	1	4	4	1	1	2	3	1	1	1	1	3	2	1	1	3	2	1	1	2	2	1	2	1	1	1	3	1	1	3	1	3	2	1	2	2	2	1	3	3	3	1	4	1	4	2	1	2	1	3	4	1	1	1	3	1	3	4	4	1	1	1	1	2	2	1	1	1	1	1	2	4	1	4	3	1	2	2	2	1	1	2	1
"24"	4	2	2	3	1	4	1	1	4	2	3	1	2	2	2	4	2	2	1	1	4	2	3	4	1	1	1	1	1	1	2	2	2	3	1	3	4	1	4	4	3	1	1	1	4	1	4	1	1	1	1	1	1	4	1	1	1	1	2	4	1	2	1	1	2	1	1	4	1	1	1	1	2	1	1	2	1	3	3	1	2	4	3	3	1	1	1	2	2	1	1	2	1	1	1	2	2	1	1	2
"25"	3	1	2	1	1	1	1	4	2	2	1	2	3	2	1	2	4	3	4	1	4	1	2	2	1	1	1	1	1	1	1	2	4	4	1	3	1	1	2	2	3	4	1	2	4	1	4	1	1	2	2	1	1	2	3	1	1	3	2	4	3	2	1	1	1	2	1	1	1	1	4	3	1	3	2	1	1	4	1	1	2	2	1	1	1	1	4	2	4	4	1	1	2	1	2	1	3	2	1	1
"26"	1	2	3	1	1	1	1	1	1	3	1	1	1	2	2	1	1	3	1	1	4	1	2	4	1	1	1	1	2	4	2	3	1	2	1	1	4	4	2	1	3	1	1	2	2	2	4	1	2	1	1	1	1	2	1	1	1	4	2	4	3	4	1	1	2	2	3	2	1	3	1	3	1	1	1	2	1	2	1	1	2	2	3	4	2	1	3	1	3	2	3	1	2	1	1	2	4	1	4	1
"27"	1	1	1	1	1	3	1	2	4	1	1	4	4	1	1	1	1	3	4	4	4	3	2	4	1	1	1	1	1	2	1	2	1	4	1	1	3	1	2	2	4	1	2	2	4	1	1	1	2	3	2	1	1	1	2	4	1	2	1	1	3	1	2	3	2	2	1	2	1	1	1	1	1	1	1	4	1	2	1	1	3	2	1	1	2	1	1	2	3	1	1	2	2	1	1	2	4	3	2	1
"28"	1	2	1	2	4	2	1	4	1	3	3	1	3	2	2	2	1	1	4	4	1	1	2	2	1	1	1	1	1	1	2	4	1	2	1	4	3	3	4	4	1	1	1	1	2	1	3	1	4	1	1	1	1	1	1	1	1	1	2	4	1	4	1	4	1	1	2	2	4	2	1	3	1	1	1	3	1	4	1	2	1	1	1	1	3	4	1	2	3	2	1	1	1	1	1	4	1	1	1	4
"29"	4	2	1	2	1	2	1	4	2	1	1	4	3	2	4	1	1	4	4	3	4	2	1	1	2	1	1	1	1	2	1	2	1	1	1	1	1	4	3	2	1	1	1	1	2	1	2	2	2	1	2	1	1	2	1	1	1	1	3	4	1	1	1	1	2	1	4	3	1	1	4	1	4	2	4	4	1	4	3	1	3	2	3	4	2	1	4	2	3	2	1	3	1	1	4	1	1	2	2	1
"30"	1	2	2	3	2	2	1	2	2	1	4	1	1	2	1	1	1	4	3	2	4	2	2	2	1	1	1	3	1	2	2	2	1	3	1	1	1	3	1	2	1	2	4	2	2	1	3	1	1	1	2	1	1	4	2	1	1	2	2	1	3	4	2	1	2	1	4	2	1	1	1	2	1	1	1	4	4	2	1	1	2	1	1	1	2	1	1	4	4	2	4	1	1	2	1	2	1	1	1	1
"31"	4	1	1	2	1	1	1	2	4	3	2	1	2	2	2	1	2	1	2	3	1	1	1	1	1	1	1	1	2	4	1	1	1	4	1	1	1	2	1	1	2	4	2	1	1	1	2	2	1	1	1	2	1	4	1	1	1	1	2	1	3	1	2	4	1	2	1	2	3	3	3	3	1	2	2	2	3	4	1	4	2	2	1	1	1	4	2	4	3	2	3	3	2	1	1	1	3	3	2	1
"32"	3	1	1	1	4	2	1	1	1	1	1	1	1	2	1	1	1	1	2	1	1	2	2	3	4	4	1	1	1	4	1	2	2	1	1	1	1	2	1	1	3	2	1	1	3	1	1	1	2	2	1	1	2	2	1	1	1	2	2	4	2	2	2	1	1	1	1	4	2	1	1	1	1	1	1	4	1	1	1	1	2	1	4	1	1	1	1	2	4	2	1	1	2	1	2	1	3	1	4	1
"33"	3	1	4	3	1	1	1	1	4	1	1	1	2	1	2	1	1	3	1	1	1	3	2	4	1	1	1	1	1	2	2	1	2	3	1	1	4	1	1	1	3	4	1	1	2	1	2	1	3	1	1	1	1	4	1	3	1	3	1	2	3	2	2	2	2	1	1	2	1	1	1	1	1	2	1	1	2	1	1	1	2	2	4	1	1	1	4	2	1	2	3	3	2	4	3	1	4	3	2	4
"34"	4	2	1	1	2	2	1	2	2	1	2	2	2	2	1	1	1	1	1	1	1	2	2	3	1	1	1	1	1	1	2	2	1	1	1	2	4	1	1	2	1	2	1	1	2	1	3	1	4	3	1	1	1	1	1	1	2	4	2	4	3	1	2	1	1	1	1	3	3	4	1	2	1	1	1	1	1	2	1	1	3	2	3	1	3	1	2	2	1	1	1	3	2	1	1	1	4	3	4	1
"35"	1	1	2	1	2	4	1	2	4	1	4	1	1	1	2	1	1	3	2	3	2	1	4	1	1	3	1	1	2	1	1	2	2	4	1	2	1	2	3	1	2	2	1	1	2	4	2	1	1	1	2	2	1	1	1	3	1	2	2	1	1	4	1	2	1	1	1	2	4	1	4	3	4	1	3	1	4	4	1	1	2	2	1	4	1	1	1	2	4	2	1	3	2	2	1	2	2	1	2	1
"36"	1	2	1	1	4	4	1	3	1	1	2	1	2	1	3	1	1	1	2	2	1	4	2	2	1	1	1	2	1	1	2	2	3	3	1	1	1	2	1	1	1	2	1	1	4	1	4	1	1	4	1	1	1	1	4	4	1	1	2	2	3	4	1	1	1	2	4	1	4	4	3	1	1	1	1	2	1	4	1	4	2	1	1	1	4	4	1	4	3	1	3	3	2	4	1	3	1	1	2	1
"37"	1	2	1	3	2	2	1	2	2	1	2	2	4	2	3	3	2	3	1	1	1	1	1	3	3	1	1	2	1	1	1	1	1	3	2	1	1	1	1	2	3	1	1	2	2	1	2	1	3	1	1	1	1	3	2	1	1	2	1	4	3	2	1	2	1	2	1	1	2	2	1	1	2	1	4	2	4	2	1	1	4	2	1	1	3	4	1	4	1	1	1	2	1	1	1	1	3	1	1	2
"38"	2	1	2	1	2	1	1	2	4	1	1	2	2	1	1	2	1	3	1	1	2	1	2	2	4	1	1	1	1	2	1	4	1	4	1	2	4	1	1	1	3	2	1	1	1	1	1	1	1	2	2	1	4	4	1	1	1	1	2	4	1	1	2	3	1	2	1	1	1	1	1	1	1	2	4	4	2	1	1	1	4	2	4	1	1	1	1	1	3	2	1	2	3	2	4	1	3	1	4	2
"39"	4	1	3	3	1	3	1	1	2	1	3	2	2	2	2	3	2	1	1	1	1	2	4	4	1	3	1	4	1	1	1	1	1	2	4	2	2	1	1	2	3	2	4	2	2	2	1	1	2	1	2	1	1	1	3	3	3	1	2	1	3	1	1	1	1	2	1	2	1	4	4	2	1	2	1	3	1	1	2	1	3	2	3	1	1	1	1	1	3	2	1	1	2	1	1	3	4	1	2	1
"40"	4	2	4	4	2	1	1	2	1	1	3	2	2	2	2	3	2	2	4	1	2	4	2	3	4	1	1	3	2	2	2	1	2	4	1	3	1	2	2	1	3	1	2	1	1	1	1	1	2	1	1	1	1	2	3	2	1	3	2	1	1	2	1	2	2	4	1	3	1	1	4	1	3	4	1	1	1	3	1	1	2	2	4	1	1	4	2	4	4	1	1	1	2	4	4	2	3	2	3	1
"41"	1	2	2	2	1	1	1	1	3	1	1	1	4	1	4	1	1	1	4	1	4	1	3	3	1	1	1	1	1	1	1	4	1	3	1	2	4	1	1	2	1	2	2	2	3	1	2	1	4	1	1	1	1	1	1	1	1	1	2	3	1	2	1	1	1	2	1	2	4	1	1	3	1	4	1	4	2	1	1	1	2	1	4	1	1	1	3	1	4	1	1	1	3	2	4	1	1	3	1	1
"42"	1	2	2	1	3	2	1	4	1	1	4	1	1	1	1	3	1	1	4	1	4	1	2	3	1	1	1	4	1	4	1	4	1	3	1	4	4	4	1	2	4	1	1	1	2	1	3	1	3	2	1	2	1	1	1	2	2	1	2	4	3	4	2	1	1	2	1	2	1	2	1	3	1	1	1	1	4	3	2	1	2	2	1	3	2	3	1	1	3	1	1	2	1	1	1	2	1	1	1	2
"43"	4	2	2	1	1	2	1	1	2	1	3	1	4	1	2	1	1	3	1	1	4	1	2	1	2	1	1	1	1	2	1	3	1	3	1	1	3	2	4	1	1	1	1	1	1	1	3	1	1	2	1	3	1	2	1	1	1	2	3	4	3	4	1	1	3	2	1	1	1	4	3	3	1	1	1	4	1	1	1	1	3	1	1	1	1	1	2	4	3	1	1	1	3	1	4	1	2	3	2	1
"44"	4	3	1	1	4	3	1	1	4	1	2	1	1	1	2	1	1	1	1	4	2	1	3	1	1	3	1	1	2	2	2	2	1	2	1	2	4	4	2	1	4	3	4	1	2	2	4	1	1	2	1	1	1	2	3	2	3	1	2	2	3	2	2	4	4	3	1	1	2	2	1	3	1	1	1	1	1	3	1	4	3	1	1	4	3	3	4	1	4	1	1	1	1	1	3	2	1	1	4	1
"45"	1	1	1	1	2	2	2	2	1	1	3	2	4	2	3	3	1	1	1	1	1	1	2	2	1	3	1	1	1	2	1	3	1	4	1	1	4	2	1	4	2	2	1	3	2	1	1	1	1	1	1	2	1	1	3	1	2	1	3	4	1	2	2	1	1	3	3	4	4	1	4	2	1	1	1	4	1	2	1	1	2	1	2	3	1	2	1	1	2	1	1	3	1	2	1	2	1	2	1	2
"46"	4	3	1	3	4	3	1	4	4	4	3	1	1	2	2	4	2	3	1	1	3	1	3	2	1	1	1	2	1	4	1	1	2	1	1	3	2	1	1	2	3	1	4	2	2	1	2	1	1	1	1	1	1	2	3	1	1	4	2	2	3	2	2	4	1	3	1	4	1	2	4	2	1	2	1	2	1	1	1	2	2	2	1	3	1	3	1	2	4	1	1	1	1	4	3	1	4	3	1	1
"47"	1	1	2	1	1	4	1	3	2	3	1	1	4	2	2	2	2	1	4	2	2	2	2	4	1	1	1	3	1	1	1	1	1	4	1	1	1	1	3	2	3	2	1	2	1	2	2	1	3	1	1	1	1	2	4	3	1	2	3	4	1	1	3	4	1	1	1	4	1	1	4	3	1	4	2	3	1	1	1	3	3	2	3	2	1	1	1	2	2	1	1	1	1	1	3	1	3	3	4	1
"48"	2	4	1	3	4	4	1	1	4	1	2	2	1	1	1	1	1	3	1	1	2	1	2	4	4	2	2	1	3	1	1	2	3	1	1	1	4	1	2	1	3	2	1	2	1	2	3	1	1	1	2	1	1	1	1	1	1	1	4	1	3	4	2	3	1	1	4	2	1	2	1	1	2	1	3	4	1	3	2	1	3	2	1	3	1	1	4	2	2	1	1	2	1	2	1	2	1	2	4	2
"49"	1	2	1	3	2	2	1	4	1	1	4	1	2	2	2	1	1	2	4	4	2	1	3	2	1	4	1	1	2	1	1	1	2	2	1	1	4	1	3	2	3	2	1	2	2	4	3	1	1	1	1	3	1	1	1	3	1	2	2	4	3	4	2	1	2	1	1	4	1	1	1	3	1	2	4	1	1	3	1	4	3	1	3	1	1	1	1	2	1	1	1	1	3	2	1	1	1	3	1	2
"50"	4	1	4	4	2	4	1	3	4	1	2	1	1	2	2	1	1	1	1	1	1	1	4	1	1	1	1	1	1	4	2	2	1	3	1	2	4	1	3	3	3	1	1	1	2	1	1	1	1	4	2	1	2	1	4	3	1	1	2	4	1	1	1	1	1	1	4	2	3	1	1	2	1	1	1	1	1	4	1	3	2	2	1	1	2	1	1	3	2	2	1	2	3	2	1	1	3	3	4	1
"51"	2	2	3	1	4	2	1	3	1	1	1	1	4	2	1	3	1	1	4	1	3	1	3	1	1	4	1	1	2	1	1	4	1	1	1	1	4	1	1	1	2	4	1	4	1	1	3	2	2	2	1	2	1	2	1	1	1	2	2	3	3	1	1	1	2	4	1	2	1	1	2	1	4	3	1	3	4	1	2	1	2	1	1	1	3	3	1	1	1	2	1	1	2	1	4	1	1	3	4	1
"52"	2	2	4	1	1	1	1	4	4	1	4	2	1	2	1	1	1	1	1	1	1	1	2	3	1	1	1	1	2	3	1	2	1	3	1	3	4	2	2	1	3	2	1	2	3	1	1	1	1	1	2	1	1	1	1	1	1	2	2	4	3	4	3	1	2	2	1	4	1	1	1	1	1	2	1	1	1	4	1	1	4	1	4	2	1	2	1	1	3	2	1	1	2	1	1	2	2	3	2	1
"53"	4	2	4	1	1	1	2	2	2	2	2	1	2	2	2	1	1	1	4	1	4	1	2	2	1	1	1	1	1	4	1	2	1	3	4	3	1	3	1	2	2	2	1	1	2	1	4	1	1	1	1	4	1	2	3	1	2	1	2	4	3	4	2	3	2	2	1	1	1	1	4	3	1	1	1	2	1	4	1	1	2	2	4	1	2	4	1	3	4	1	1	1	1	2	1	2	3	1	3	1
"54"	4	1	1	2	1	1	1	1	1	3	1	1	2	2	1	1	1	4	1	1	1	1	3	3	1	2	1	2	2	3	2	4	1	2	1	2	1	1	2	1	3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	2	2	3	2	1	4	1	1	1	2	1	1	4	3	1	1	1	2	1	4	1	4	2	2	1	1	3	1	1	1	3	1	1	3	2	4	1	2	2	3	4	1
"55"	2	2	1	2	1	1	1	1	3	1	2	1	4	2	2	1	1	1	1	4	4	2	2	1	2	4	1	4	1	1	1	2	2	2	3	1	4	1	1	1	3	1	1	1	1	3	3	1	2	2	1	1	1	1	3	4	1	2	2	1	3	2	3	1	1	2	1	1	1	1	4	3	2	1	1	1	1	2	1	3	3	1	2	1	1	1	1	2	4	2	1	4	1	3	1	2	1	3	4	1
"56"	4	3	1	1	4	4	1	4	1	3	1	1	1	1	4	2	1	1	3	1	4	2	2	3	3	1	1	1	1	1	2	3	1	3	1	3	4	3	1	1	3	3	1	1	2	1	4	1	2	1	2	1	2	2	4	1	1	2	3	4	3	2	1	1	1	4	1	4	1	2	1	1	3	3	4	4	2	3	1	1	2	1	1	1	1	3	1	2	4	4	1	2	3	1	1	2	1	3	4	1
"57"	1	2	4	3	4	2	1	4	1	3	2	1	1	2	1	3	1	1	1	1	1	2	4	4	1	2	1	1	2	2	2	2	2	3	1	2	2	1	3	1	3	2	2	3	1	1	3	1	1	1	1	1	1	1	1	3	1	1	2	1	1	1	3	1	2	1	1	1	1	2	2	3	2	1	1	2	3	1	2	1	4	1	1	1	4	1	4	1	2	1	1	2	4	1	3	1	4	1	1	1
"58"	1	2	3	1	2	2	1	1	1	1	1	1	2	2	3	1	1	1	1	3	1	1	3	2	4	1	1	4	3	1	1	3	2	3	1	4	1	2	3	3	3	1	1	1	1	2	3	1	1	2	2	1	3	1	4	1	3	1	3	3	2	2	2	1	1	2	1	4	2	1	1	1	2	1	1	3	1	1	1	1	2	1	1	1	2	3	4	3	3	2	1	1	1	1	1	1	4	2	2	2
"59"	1	1	3	3	4	2	1	4	4	4	1	1	4	1	2	1	1	1	4	1	2	2	1	3	1	1	1	3	1	2	2	2	1	3	1	1	2	1	1	1	4	1	1	1	2	2	1	1	2	1	1	2	1	2	3	3	1	1	1	1	2	1	1	1	1	2	1	4	1	3	4	3	2	3	1	1	1	2	1	1	3	2	1	1	2	1	1	4	3	2	1	3	1	2	4	3	1	1	3	2
"60"	1	2	1	3	1	1	1	2	4	1	3	1	2	2	3	3	1	4	1	2	2	2	2	2	1	1	1	4	1	3	1	2	1	1	1	1	4	2	1	2	4	2	1	4	1	1	2	1	2	2	1	1	1	4	1	3	1	1	1	4	1	1	1	1	2	4	4	2	1	4	1	3	4	1	1	1	1	4	1	1	4	1	1	1	3	1	1	1	3	1	1	2	2	2	3	2	3	2	3	2
"61"	1	1	2	2	1	1	1	2	4	1	3	2	1	2	2	3	4	1	4	1	4	1	2	3	1	1	1	1	3	2	1	2	1	4	1	3	1	2	1	2	3	2	1	2	4	1	4	1	1	2	1	1	1	2	3	2	1	1	3	1	1	4	1	3	1	4	1	2	3	1	4	3	1	2	4	4	1	3	1	1	2	1	1	1	1	4	1	2	3	1	1	1	3	1	1	1	4	2	3	1
"62"	1	4	1	1	4	4	1	2	4	1	1	4	4	2	2	1	1	1	1	1	1	1	3	3	1	1	1	1	2	1	1	2	1	4	1	1	4	1	1	2	3	1	1	1	1	1	4	1	3	2	1	2	1	1	1	1	3	1	2	1	1	2	1	2	1	1	1	3	2	2	3	2	2	2	1	1	1	1	2	4	4	2	1	1	2	1	1	2	3	2	1	2	1	1	4	1	4	1	4	1
"63"	4	1	2	1	2	2	1	1	4	1	4	2	4	4	2	2	1	3	1	1	4	4	2	1	1	1	1	1	3	3	1	4	1	3	1	3	1	2	2	1	2	2	1	1	2	1	1	1	4	3	2	3	1	2	1	1	1	2	2	1	3	1	1	1	2	1	1	2	1	1	2	3	1	4	4	3	1	1	1	1	2	2	1	1	4	1	1	4	3	1	1	1	3	1	4	3	2	1	2	1
